service_date,route_id,direction_id,half_trip_id,stop_id,time_point_id,time_point_order,point_type,standard_type,scheduled,actual,scheduled_headway,headway,fromFile,day,stop_name,delay_mins
2021-11-04,64,Inbound,53490700,1110,union,2,Midpoint,Schedule,1900-01-01T08:45:00Z,1900-01-01T08:48:23Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,N Beacon St @ Cambridge St,3.38
2021-11-04,64,Inbound,53490700,1116,alrmp,3,Midpoint,Schedule,1900-01-01T08:56:00Z,1900-01-01T08:56:12Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Cambridge St @ Mass Pike Exit,0.2
2021-11-04,64,Inbound,53490697,2231,kndl,5,Endpoint,Schedule,1900-01-01T09:00:00Z,1900-01-01T08:45:04Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Main St @ Kendall Station - Red Line,-14.93
2021-11-04,64,Inbound,53490705,1214,oaksq,1,Startpoint,Schedule,1900-01-01T09:02:00Z,1900-01-01T09:06:23Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Faneuil St @ Oak Square,4.38
2021-11-04,64,Inbound,53490700,1059,cntsq,4,Midpoint,Schedule,1900-01-01T09:05:00Z,1900-01-01T09:01:02Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,River St @ Green St,-3.97
2021-11-04,64,Inbound,53490705,1110,union,2,Midpoint,Schedule,1900-01-01T09:13:00Z,1900-01-01T09:17:36Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,N Beacon St @ Cambridge St,4.6
2021-11-04,64,Inbound,53490700,2231,kndl,5,Endpoint,Schedule,1900-01-01T09:16:00Z,1900-01-01T09:10:10Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Main St @ Kendall Station - Red Line,-5.83
2021-11-04,64,Inbound,53490705,1116,alrmp,3,Midpoint,Schedule,1900-01-01T09:20:00Z,1900-01-01T09:22:00Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Cambridge St @ Mass Pike Exit,2
2021-11-04,64,Inbound,53490705,1059,cntsq,4,Midpoint,Schedule,1900-01-01T09:28:00Z,1900-01-01T09:26:18Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,River St @ Green St,-1.7
2021-11-04,64,Inbound,53490708,1214,oaksq,1,Startpoint,Schedule,1900-01-01T09:34:00Z,1900-01-01T09:32:49Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Faneuil St @ Oak Square,-1.18
2021-11-04,64,Inbound,53490705,2231,kndl,5,Endpoint,Schedule,1900-01-01T09:39:00Z,1900-01-01T09:36:49Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Main St @ Kendall Station - Red Line,-2.18
2021-11-04,64,Inbound,53490708,1110,union,2,Midpoint,Schedule,1900-01-01T09:45:00Z,1900-01-01T09:46:50Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,N Beacon St @ Cambridge St,1.83
2021-11-04,64,Inbound,53490708,1116,alrmp,3,Midpoint,Schedule,1900-01-01T09:52:00Z,1900-01-01T09:51:58Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Cambridge St @ Mass Pike Exit,-0.03
2021-11-04,64,Inbound,53490708,1059,cntsq,4,Midpoint,Schedule,1900-01-01T10:00:00Z,1900-01-01T09:56:32Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,River St @ Green St,-3.47
2021-11-04,64,Inbound,53490708,2231,kndl,5,Endpoint,Schedule,1900-01-01T10:11:00Z,1900-01-01T10:14:54Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Main St @ Kendall Station - Red Line,3.9
2021-11-04,64,Inbound,53490988,1214,oaksq,1,Startpoint,Schedule,1900-01-01T10:20:00Z,1900-01-01T10:20:44Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Faneuil St @ Oak Square,0.73
2021-11-04,64,Inbound,53490988,1110,union,2,Midpoint,Schedule,1900-01-01T10:31:00Z,1900-01-01T10:32:54Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,N Beacon St @ Cambridge St,1.9
2021-11-04,64,Inbound,53490988,1116,alrmp,3,Midpoint,Schedule,1900-01-01T10:38:00Z,1900-01-01T10:38:44Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Cambridge St @ Mass Pike Exit,0.73
